EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
360,Louise,Doran,LDORAN,011.44.1345.629268,3/1/2020,SA_REP,7500,146,80
361,Sarath,Sewall,SSEWALL,011.44.1345.529268,1/18/2021,SA_REP,7000,146,80
362,Clara,Vishney,CVISHNEY,011.44.1346.129268,1/27/2020,SA_REP,10500,147,80
363,Danielle,Greene,DGREENE,011.44.1346.229268,6/3/2021,SA_REP,9500,147,80
364,Mattea,Marvins,MMARVINS,011.44.1346.329268,4/10/2022,SA_REP,7200,147,80
365,David,Lee,DLEE,011.44.1346.529268,5/10/2022,SA_REP,6800,147,80
366,Sundar,Ande,SANDE,011.44.1346.629268,6/9/2022,SA_REP,6400,147,80
367,Amit,Banda,ABANDA,011.44.1346.729268,7/7/2022,SA_REP,6200,147,80
368,Lisa,Ozer,LOZER,011.44.1343.929268,5/27/2019,SA_REP,11500,148,30
369,Harrison,Bloom,HBLOOM,011.44.1343.829268,6/7/2020,SA_REP,10000,148,30
370,Tayler,Fox,TFOX,011.44.1343.729268,4/10/2020,SA_REP,9600,148,30
371,William,Smith,WSMITH,011.44.1343.629268,5/10/2021,SA_REP,7400,148,30
372,Elizabeth,Bates,EBATES,011.44.1343.529268,6/8/2021,SA_REP,7300,148,30
373,Sundita,Kumar,SKUMAR,011.44.1343.329268,7/7/2022,SA_REP,6100,148,30
374,Ellen,Abel,EABEL,011.44.1644.429267,7/27/2018,SA_REP,11000,149,30
375,Alyssa,Hutton,AHUTTON,011.44.1644.429266,6/4/2019,SA_REP,8800,149,30
376,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,6/8/2020,SA_REP,8600,149,30
377,Jack,Livingston,JLIVINGS,011.44.1644.429264,7/8/2020,SA_REP,8400,149,30
378,Kimberely,Grant,KGRANT,011.44.1644.429263,8/8/2021,SA_REP,7000,149,30
379,Charles,Johnson,CJOHNSON,011.44.1644.429262,3/21/2022,SA_REP,6200,149,30
380,Winston,Taylor,WTAYLOR,650.507.9876,4/10/2020,SH_CLERK,3200,120,50
381,Jean,Fleaur,JFLEAUR,650.507.9877,5/10/2020,SH_CLERK,3100,120,50
382,Martha,Sullivan,MSULLIVA,650.507.9878,9/5/2021,SH_CLERK,2500,120,50
383,Girard,Geoni,GGEONI,650.507.9879,4/20/2022,SH_CLERK,2800,120,50
384,Nandita,Sarchand,NSARCHAN,650.509.1876,4/13/2018,SH_CLERK,4200,121,50
385,Alexis,Bull,ABULL,650.509.2876,5/8/2019,SH_CLERK,4100,121,50
386,Julia,Dellinger,JDELLING,650.509.3876,9/8/2020,SH_CLERK,3400,121,50
387,Anthony,Cabrio,ACABRIO,650.509.4876,4/24/2021,SH_CLERK,3000,121,50
388,Kelly,Chung,KCHUNG,650.505.1876,8/30/2019,SH_CLERK,3800,122,50
389,Jennifer,Dilly,JDILLY,650.505.2876,10/29/2019,SH_CLERK,3600,122,50
390,Timothy,Gates,TGATES,650.505.3876,9/25/2020,SH_CLERK,2900,122,50
391,Randall,Perkins,RPERKINS,650.505.4876,3/5/2022,SH_CLERK,2500,122,50
392,Sarah,Bell,SBELL,650.501.1876,4/21/2018,SH_CLERK,4000,123,50
393,Britney,Everett,BEVERETT,650.501.2876,5/19/2019,SH_CLERK,3900,123,50
394,Samuel,McCain,SMCCAIN,650.501.3876,9/15/2020,SH_CLERK,3200,123,50
395,Vance,Jones,VJONES,650.501.4876,6/1/2021,SH_CLERK,2800,123,50
396,Alana,Walsh,AWALSH,650.507.9811,7/9/2020,SH_CLERK,3100,124,50
397,Kevin,Feeney,KFEENEY,650.507.9822,8/7/2020,SH_CLERK,3000,124,50
398,Donald,OConnell,DOCONNEL,650.507.9833,9/5/2021,SH_CLERK,2600,124,50
399,Douglas,Grant,DGRANT,650.507.9844,3/30/2022,SH_CLERK,2600,124,50
400,Jennifer,Whalen,JWHALEN,515.123.4444,12/2/2009,AD_ASST,4400,101,10
401,Michael,Hartstein,MHARTSTE,515.123.5555,5/4/2018,MK_MAN,13000,100,20
402,Pat,Fay,PFAY,603.123.6666,11/2/2019,MK_REP,6000,201,
403,Susan,Mavris,SMAVRIS,515.123.7777,8/22/2016,HR_REP,6500,101,
404,Hermann,Baer,HBAER,515.123.8888,8/22/2016,PR_REP,10000,101,
405,Shelley,Higgins,SHIGGINS,515.123.8080,8/22/2016,AC_MGR,12000,101,
406,William,Gietz,WGIETZ,515.123.8181,8/22/2016,AC_ACCOUNT,8300,205,
